Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
MVZ,114942,Oncifelis,colocolo,male,Peru,,96.8,31,36.3,20.2,38,33.1,70.2,44.2,28.5,43.3,10.2,23.4,29.3,24.2,42.7,2.6,2.1,5.2,3.9,5.2,6.8,5.4,11.7,28.3,12.5,5.4,4,4.1,5.8,2.9,5.2,7.4,3.6,9.2,3.8,17.7,10.2,23.2,31.1,58.4,11,5.3,10.9,5,16.9
MVZ,114777,Oncifelis,colocolo,female,Peru,,96.9,30.1,35.7,20.1,38.8,33.3,70,41.9,29.8,44.4,10,22.7,33.9,24,44.9,2.4,1.9,4.9,3.9,5,7.5,5.1,11.6,27.8,11.7,5,3.6,4.1,6.1,3,5,7.5,3.6,9.3,4.2,17.6,9.8,22.7,32.3,59.2,11.7,6,11.6,5.5,16.4
MVZ,114943,Oncifelis,colocolo,male,Peru,,100.6,32.5,35.6,19.9,37.7,33.8,71.8,46.9,27.1,41.7,9.2,22.8,30.6,24.8,42.4,2.4,1.6,5.1,3.9,3.9,6.7,5,11.1,28.4,11.8,5.1,3.9,3.6,5.2,2.8,4.2,7.1,3.4,8.7,4.1,19,8.9,22.9,32.6,60.4,12.1,5.5,12.2,5.1,16.5
FMNH,104925,Oncifelis ,colocolo,female,Zoo/South America,,80,21,31,17.2,32.7,26,54.8,39.6,26.1,38.4,10,19.6,26.8,19.3,35.5,2.2,2,4.2,2.9,4.7,6.3,4.4,9.5,24.2,8.3,3.6,2.8,4.5,4.5,2.5,4.7,6.3,3.5,7.4,3.4,11.9,7.5,18.8,25.5,48.7,8.3,3.9,8.4,3.2,11.6
FMNH,24370,Oncifelis ,colocolo colocolo,male,Chile,Valparaiso,103.6,30.5,38.2,22,41.6,35.4,75.7,44,29.2,46.1,9.9,25.5,31.3,23.6,45.9,2.3,2,5,4.7,4.8,7.4,5.2,11.8,29.3,10.9,5.4,4,4.4,5.5,3.2,5,7.1,3.4,9.7,3.8,18.7,10.2,28,37.8,66.1,13.2,6.5,12.4,6.1,19
FMNH,68318,Oncifelis ,colocolo garleppi,female,Peru,Cuzco,87.8,25.3,31.4,17.2,32,30,60.8,42.4,29.4,43.8,9.4,20.5,28.9,22.7,38.9,2.2,1.9,4.6,3.1,4.4,6,4.4,10.9,25.9,10.2,4.1,3.1,4,4.6,2.5,5.2,6.2,3.4,7.1,3.4,12.2,8,20.9,29,52.6,9.1,4.5,9.2,4.4,13.9
FMNH,80994,Oncifelis ,colocolo garleppi,male,Peru,Apurimac,96.5,24.8,34.3,19.9,37.4,31.2,67.2,43.5,25.1,43.1,9.3,23.4,31.1,23.7,40.3,,,5.8,3.9,5.5,8.6,6,12.2,29,12.3,5.1,3.9,4.6,5.9,2.9,5.7,8.5,3.8,9.4,4.2,16.9,8.6,25.6,32.7,57.9,10.5,5.3,10.8,5.1,17.6
FMNH,52488,Oncifelis ,colocolo garleppi,male,Peru,Puno,96.6,26.6,34.5,19.8,38.5,31.4,71.8,47.5,29.3,45.5,10.2,24,30.7,25.3,41.8,,,5.4,4.2,4.6,6.7,5.3,10.6,27.8,10.2,4.8,3.9,4.5,5.5,3,4,7.1,3.5,8.7,3.7,18,10.3,26.5,34.1,60.6,11.3,5.9,11.2,6,16.6
FMNH,43291,Oncifelis ,colocolo thomasi,male,Ecuador,Napo,89.3,23.7,30.7,17.7,33.6,27.1,62.6,42.7,27.5,40.1,9.1,22,27.4,21.7,37.7,2.3,1.7,4.9,4.1,3.2,6.4,4.9,10.7,26.2,9,4.4,3.9,3.7,5.2,2.6,2.9,6.8,3.3,8,4.1,15.7,9.6,23,30.6,55.2,11,5.4,9.7,4.8,14.9
MVZ,145343,Oncifelis,geoffroyi,male,Paraguay,,91.6,31.1,34.4,18,34,31.7,59.7,40.5,27.5,42.2,10.2,20.2,30.3,24.2,40,2.6,2.5,5,3.8,4.8,7,5,11.4,27.9,10.5,5.1,3.6,3.7,5.8,2.3,4.8,7.3,3,8.6,3.5,15.4,8.8,20.3,29.1,54.4,9.9,4.6,9.7,4,13.9
USNM,331067,Oncifelis,geoffroyi,female,Argentina,Azul,92.2,32.7,35.4,19.1,39.4,33.2,63.9,36.2,27.2,46.8,11.9,22,32.5,23.9,43.8,3.2,2.5,5.7,4.7,5.4,7.5,5.9,12.3,28.7,10.9,5.6,4,4.2,6.2,2.8,5.3,8,3.4,8.9,4,17.5,9.5,24.3,30.2,55.8,10.7,6,10.1,5.5,15.1
USNM,270509,Oncifelis,geoffroyi,male,Zoo,,92.9,29.2,35,18.4,36.3,30.2,62.6,39.2,27.3,41.9,10.9,22.1,29.4,24.1,40.1,2.7,2.5,5.1,4.1,4.7,6.9,5.1,10.2,27.7,10.4,5.1,3.8,3.7,5.2,2.7,4.7,6.9,3.3,8.2,3.7,14.4,9.2,20.9,29.5,54.5,10.2,4.5,10.1,3.5,15.5
USNM,297847,Oncifelis,geoffroyi,female,Zoo,,94.8,32.2,37.1,21,36.3,32.2,68.9,44.5,27.6,43.9,10,22,30.5,22.2,42.8,3,2.6,4.9,3.8,4.8,7,6,11.6,28.6,10,4.7,3.4,3.8,5.7,2.9,5.1,7.3,3.3,8.5,3.8,13.6,9.1,24.5,30.9,57.8,10.6,5.4,10.3,4.9,16.9
MVZ,145342,Oncifelis,geoffroyi,male,Paraguay,,96.8,30.7,35.5,19.8,34.6,29,63.1,40.1,27.2,42.8,11.1,22,29.4,23.4,39.2,2.9,2.4,5.4,4.4,5,6.7,5,10.8,29,10.8,5,3.8,4.1,5.1,2.6,5.3,6.6,3.3,8.2,3.5,15.3,9.3,23.8,29.7,56,10.6,5.1,10,4.7,16.3
FMNH,121290,Oncifelis ,geoffroyi,male,Zoo/South America,,86.9,29.5,35,20.3,37,30.2,64,41,28.5,42.2,11.2,22.7,29.6,22.7,38.1,,,5.5,4.2,5,7.8,5.7,12,28.2,10.3,4.9,4,4.9,6.1,3,5.3,7.3,3.5,8,3.7,15.6,8.5,24.7,31.2,57.1,10,5.1,9,4.4,16.1
FMNH,134485,Oncifelis ,geoffroyi,female,Zoo/South America,,89.5,28.6,34.5,18.3,34.2,30.5,62.7,43.7,27.2,41.4,10,21,28.9,22.7,40,2.2,2.4,4.3,3.2,,,4.3,10.8,25.8,,4,3,,,,4.6,6.4,3.1,7.7,3.6,16,7.2,25.8,29.8,55.5,9.5,5.5,9.8,5.5,14.1
FMNH,129394,Oncifelis ,geoffroyi,male,Zoo/South America,,96.2,31,33.6,18.6,33.8,30.8,67.6,48.4,28.5,43.2,9.2,20.1,28.7,22.7,41.3,2.6,2.4,4.8,3.6,4.7,6.8,4.6,11,27.9,10.5,4.9,3.7,3.7,5.4,2.7,4.8,7.2,3.2,7.8,3.6,18.4,9.5,25.6,33.5,58.9,10.5,4.5,9.9,4,15.1
FMNH,28404,Oncifelis ,geoffroyi geoffroyi,male,Uruguay,Soriano,103.7,35.3,39.4,22.6,38.9,34.6,70.7,42.8,29.7,47.4,12.3,23.9,32.5,24.4,43.6,3,2.4,5.8,4.4,5,7.9,6.4,13.1,31,11.7,5.5,3.9,4.7,6.3,2.9,5.3,8.2,3.7,9.1,3.9,17.9,9.6,27.7,33.7,63.8,12.2,6.1,11.2,5.6,16.5
FMNH,24360,Oncifelis ,geoffroyi salinarum,female,Argentina,Jujuy,84,27.6,31.8,17.3,32.8,28.1,54,,28.3,39.9,11.3,19.7,27.2,22.2,37.3,2.7,2.2,4.3,3.2,4.8,6.3,4.8,10.5,24.7,9.7,4.6,3.1,3.8,5.8,2.3,4.8,6.8,2.8,7.7,3.6,13.6,7.5,21.6,26.6,50,8,4.8,7.9,4.2,13.4
FMNH,24359,Oncifelis ,guigna guigna,male,Chile,Los Lagos,82.7,27.6,30.5,17,29.9,25.4,53.4,35.1,25,37.7,9,18.6,25.6,21.5,34.5,2.1,1.8,3.9,3.2,3.8,5.7,4.7,9.2,23.8,8.6,4,2.7,3.2,4.9,2,3.8,5.7,2.6,6.5,2.8,13,8.1,21.6,28.7,50.2,8.6,4.2,8,4,12.3
FMNH,24417,Oncifelis ,guigna tigrillo,male,Chile,Valparaiso,96.8,35.5,35.5,20.7,34.2,30.8,63.4,42.3,25.9,40.5,10.2,23.3,30.9,23.7,39.8,2.8,2.4,4.6,3.7,4.8,7,6,10.5,26.6,9.3,4.4,3.8,4,5.7,2.5,4.9,7.1,3.2,7.6,3.7,15.6,9.4,25.3,33.6,58.9,10.8,5.8,9.8,5.2,16.3
MVZ,116317,Oreailurus,jacobita,male,Peru,,100.8,33.4,37.8,21.9,38.8,34.5,68.9,41.7,29.2,49.9,12.9,25.3,32.4,25.6,45.5,3.1,2.5,5.9,4.7,5.8,8.2,6.7,14,31.2,13,6.2,4.4,5.4,7,3.6,6.3,9,4.3,10.9,4.5,17.3,10.7,25.9,32.9,62.4,10.7,6.9,10.4,6.4,19
LACM,90728,Otocolobus,manul,female,,,76.1,22.7,32.6,18,38.7,33.3,66.3,55.5,35.9,45,9.1,22.8,29.8,21.3,44.2,2.2,2,4.3,3.8,4.2,6.6,5,11.4,28.7,11.6,4.2,3.5,3.7,5.6,3.1,4.7,5.9,3.2,9.1,3.8,16.1,8.2,20,28.5,52.5,10.4,5.8,10,5,14.9
FMNH,57629,Otocolobus,manul,unknown,Zoo/Asia,,77,24.6,29.3,19.1,37.9,30.6,59.2,43.7,35.9,43.9,9.1,19.9,29.5,21.1,42.2,2.3,1.6,4.3,3.6,5,6.2,4.3,10.5,25.1,9.3,4.4,3.5,4.2,5.6,2.6,4.9,6.5,3.2,8.9,3.5,14.4,8.5,20.1,24.6,48.7,8.5,5.2,8.3,4.9,12.1
FMNH,125386,Otocolobus,manul,female,Zoo/Asia,,80.5,20.7,33.9,18.6,40.6,31.6,68.1,55,34,42.4,8.7,22.8,30.8,21.5,47.4,2.2,2,4.4,4,4.1,6.7,4.6,10.9,27.4,7.8,4.1,3.5,3.7,5.6,2.6,4.3,6.7,3.2,8.9,3.7,16.7,8.4,24.4,29.8,55.8,10.3,5.5,10.6,4.8,12.7
FMNH,129496,Otocolobus,manul,female,Zoo/Asia,,84.1,22.6,32.7,18.7,37,32.3,65.3,53.3,35.5,44.4,9.3,22.3,28.8,21.4,44.2,2.2,1.5,4.1,3.3,4.9,5.9,3.9,10.2,26.1,9,3.8,3.6,4.1,4.4,2.5,4.3,5.9,2.8,9.1,3.6,18.7,9.5,26.4,30.6,54.3,10.6,4.9,10.2,4.3,13
FMNH,60733,Otocolobus,manul,unknown,Zoo/Asia,,87.8,26.9,33.8,19.6,40.8,32.3,66.8,52.6,38.2,47.2,8.7,22.1,31.3,23.3,48.5,2.3,2.2,4.4,3.7,5.6,6.4,4.7,11.4,27.4,11,4.2,3.4,4.6,5.6,2.8,5.4,7.7,3.1,9.6,3.9,16.9,7.8,21.5,29.6,55.9,9.3,5.3,9.5,4.9,12.1
FMNH,60612,Otocolobus,manul,male,Zoo/Asia,,90.6,28.8,35.2,20,37.5,34,67.9,50.9,33.5,45.2,9.4,22.7,34.7,23.4,48.6,2.3,2,4.6,3.8,5,6.9,4.3,10.7,27,11.1,4.5,3.7,3.6,5.4,2.7,4.6,6.2,3.3,9.4,3.7,18.8,10.1,22.5,31.2,57.3,9.7,5.3,9.7,4.9,12.6
FMNH,60691,Otocolobus,manul,female,Zoo/Asia,,90.6,22.7,34.3,22.1,38.6,32.2,67.8,52.8,37.6,44.4,7.7,22.2,32.3,22.2,48.6,2.2,1.8,4.3,3.7,5.2,6.2,4.5,10.5,27.8,9.6,4.2,3.7,4.2,5.5,2.8,5,6.7,3.3,9.5,3.5,17,8.5,21.6,30.3,55.2,9.3,4.7,9.6,4,13
FMNH,60734,Otocolobus,manul,female,Zoo/Asia,,90.8,22.6,34.5,20.7,41.7,33.9,70.2,56.6,33.8,46.3,8.9,23.9,33.1,21.9,48.8,2.3,1.8,5.5,4.3,6.2,7.1,4.8,11.8,29.4,12.8,5.2,4.1,4.5,6.6,3.2,5.8,6.9,4,9.6,3.9,18.4,8.2,25.2,32,58.8,10,5.6,10.5,5.5,13.9
FMNH,135737,Otocolobus,manul,male,Zoo/Asia,,91.5,25,36.4,21.2,39.3,35,72.4,56.7,35.7,47.3,9.4,23.9,32.3,23.8,49.2,2.5,2.1,4.7,3.8,4.4,6.6,4.5,11.3,29,12.1,4.8,3.7,4,5.3,2.7,4.6,6.6,3.1,9.5,3.6,19.7,9,25.8,32.8,60.9,11.2,5.7,11.5,5,12.5
FMNH,60611,Otocolobus,manul,male,Zoo/Asia,,92,31.1,34.7,20.9,40.4,35.5,70.4,57.1,35.3,47.5,10.1,24.1,33.6,24.6,51.3,2.4,2.3,4.8,4.3,5.6,7.3,4.9,11.9,29.8,13.3,5,4.2,5.2,6,2.9,5.7,7.6,3.4,10.3,3.8,18.9,8.6,24,31.7,58.9,8.3,5.8,9.8,5.1,13.7
LACM,51567,Panthera,leo,female,,,250.5,,114.9,70.9,115.9,79,193.1,97.2,57.9,87.3,40.9,74.8,90.3,55.7,112.7,10.9,8.5,20.8,13.3,13.1,20.7,14.8,32.2,88.4,35.3,17.8,11.9,9.5,13.7,7.4,14,21.7,11.4,22.7,11.5,54.4,41.8,80.4,96.7,181.5,38.2,19.9,33.3,18.5,54.2
LACM,51294,Panthera,leo,unknown,Kenya,,260.7,107.7,129.7,79.7,115.7,77.5,187.8,89.6,57,90.3,41.1,79.4,90.9,58.8,112.9,11.6,9.3,22.3,15.5,14.8,23.5,16,32.3,93.6,38.1,19.3,12.7,10.4,15.6,8.5,16.5,24.3,10.8,24.3,12.2,56.5,37.1,79,95.8,186.4,34.3,19.7,34,17.2,52.7
LACM,54393,Panthera,leo,unknown,Kenya,,263.1,102.8,122.5,76.5,115.2,75.4,197.1,95.4,62.5,95.2,38.6,77.6,92.8,58.2,116.2,,,23.1,15.1,14.5,23.1,15,34.4,94.1,43.1,21.8,13.1,10.5,16.5,8.4,16.1,23.7,11.7,24.3,12.3,56.9,37.8,84.1,96.1,190.3,34.7,19.1,33.2,17.4,56.9
LACM,30786,Panthera,leo,female,,,271.4,117.6,129.7,77.6,116.4,74.4,193.3,90.5,62.7,89.7,40.8,80.9,97.3,58.3,118.7,11.1,9.8,22.6,15.4,14.1,23.8,16.5,33.7,97.2,40.2,21.3,13.7,10,16.9,9.6,16.3,24.9,12.6,26.2,13.4,61.4,42.8,88.4,103.1,204.6,39.1,21.2,36.4,18.6,56.5
LACM,31182,Panthera,leo,unknown,,,271.48,121.4,125.6,86,115.3,97.1,198.3,91.9,62.3,93.6,41.7,84.2,104.61,63.6,122.1,12.6,10,24.2,18.1,15.3,23.8,17.3,35.8,98.1,41.8,21.4,15.9,10.1,18.7,9.9,15.3,25,12.8,26.7,13.1,63.2,40.4,74,99.5,199.1,40.8,21.4,37.3,19.4,55.5
LACM,51295,Panthera,leo,unknown,Kenya,,300.5,,149.5,,131.5,,,,66.7,103.1,43.7,95.6,,,,12.3,9,27.1,18.4,15.8,25.9,17.6,35.5,111.4,,,,,,,,,,,,,,,,,,,,,
LACM,51297,Panthera,leo,unknown,Kenya,,315.3,124.5,143.1,87.7,130.6,90.3,231.5,104.4,63.8,96.1,42.2,88.3,101.9,61.3,136,11.7,9.5,25.1,16.8,15.2,24.9,16.7,34.5,103.4,,,,,,,,,,,,,,,,,,,,,
MVZ,96804,Panthera,leo,male,Tanzania,,331.3,81.4,157,92.2,116.3,85,216.4,101.3,65.6,104.4,43.2,89.4,114.9,61.2,133.1,11.4,10.4,23.9,18.2,13.8,23.9,17.5,36.8,102.2,37.9,21.9,15.8,10.1,16.6,9.9,15.6,25.9,13.9,28,15,64,38.5,102,109.7,217.1,43.3,21,39.4,19,63.7
LACM,54585,Panthera,leo,male,Uganda,,331.4,145.2,155.7,98.7,129,82.4,245.9,125.9,74.4,104.7,49.3,97.1,107,68.3,140.8,13,11.8,26.8,19.3,16,27.6,19,39.5,110.4,48,23.9,17.7,9.6,20.4,10.6,18.8,29,13.9,29.2,15.6,74.4,40.4,98.3,122.3,224.7,50.5,25,46.6,23.9,72.5
MVZ,184075,Panthera,leo,unknown,unknown,,346.8,85.7,157.5,95.8,114.9,82.8,211.6,106.9,63.6,100.3,42.2,87.3,102.7,59.5,129.3,12.1,10.5,24.3,17.5,15.1,24,17.1,35.3,104.9,39,22,16.1,10.9,17,8.6,17.1,26.7,12.9,26.8,13.8,67.4,42.5,112.6,121.7,230.1,45.4,21.3,43.8,19.3,68.6
MVZ,124260,Panthera,leo,male,Uganda,,389.2,91.8,173.4,107.6,126.9,89.9,261.7,122.8,68.9,108,49.3,99.1,117.3,68.6,151.6,12.8,10.7,28.6,20.2,16.2,27.1,18.4,39.8,117.9,43.2,25,18.3,10,19.4,9.8,17.1,29.8,14,28.5,15.6,86.7,43.4,116.6,130,248.4,51.3,25.7,47.7,24.1,78.7
LACM,51569,Panthera,onca,unknown,Bolivia,,190,86.1,82.8,50,86.9,54.9,137,62.3,49,74.1,30.1,59.1,68.4,43.2,86.7,9.6,7.2,16.3,12.4,10.9,17.9,14.8,25.6,70.6,32.6,16.4,12.4,8.7,15.6,7.6,12.8,20.5,9.5,19.6,9.9,36.3,21.3,50.8,62.3,134.2,26.3,14.4,26.1,12.5,44.2
LACM,90778,Panthera,onca,unknown,,,190.1,89.6,81.1,47.2,83.8,57.7,141.1,65,42.7,71.4,27.1,57.8,63.8,39.7,88.7,7.7,5.6,14.4,11.6,10,16.1,12.1,21.3,66.6,27.5,14.3,10.3,8.3,13.5,6.4,11.1,17.5,8.2,16.1,9.2,39.8,28.3,58.4,70.7,136.5,25.8,13.9,27.3,12.3,48.9
MVZ,4830,Panthera,onca,unknown,Guyana,,212.5,56.9,90.2,56.8,79,56.3,140.5,65.5,43.6,72.9,26.9,53.9,70.4,42.2,89.1,7.5,6.2,14.4,10.8,10.1,16.7,12.8,24.8,67.7,26.6,13.5,10.2,7,11.9,6.4,11.5,17.4,9.3,18.7,8,42.3,21.3,45.9,63.9,129.4,27.6,15,25.9,13.8,40.9
LACM,29321,Panthera,onca,male,Mexico,,213.4,95.5,92.8,59,84.1,74.7,165,,46.3,81.4,29,63.8,67.4,43.5,95.1,9.1,6.8,16.4,13.9,10.6,15.3,12,24.1,73.1,32.2,14.6,11.5,7.5,13.2,6.9,11.2,17.1,8.7,18.6,8.7,44.5,26.3,68.5,74.6,149.3,30.1,14.2,28.4,13.8,49.9
MVZ,170603,Panthera,onca,unknown,Venezuela,,222,61.6,93.9,55.6,80,61.8,152.7,64.1,42.7,70.9,26.9,57.9,72.1,42,93.3,8.1,6.6,15,12.5,10.5,16.2,12.8,24.1,68.7,27.3,14.7,11.1,8.2,13.7,6.7,11.7,18.7,9.1,17.2,8.8,,22.2,58.7,70.2,138.8,29.3,13.3,27.3,13.1,47.5
MVZ,4900,Panthera,onca,male,unknown,,235,60.4,103.7,62.8,82.6,64.3,164.2,66.1,37.9,74.2,28.6,66.4,69.5,43.2,99.5,8.7,6.2,18.4,15.3,10.1,17.4,13.2,24.6,74.4,29.5,16.3,12.4,7.1,13.8,6.4,10.8,19.2,8.1,18.9,10,46.8,23.4,73.1,78.9,151.7,31.4,15.9,30.1,15.2,56.7
MVZ,35317,Panthera,onca,unknown,Mexico,,270.5,77.5,112.5,67.7,91.4,63.9,177.4,73.8,46.4,82.9,33.2,72.2,75.9,46.8,106.6,11,7.6,19.9,14.7,9.6,17.8,13.7,27,77.7,29.8,17,12.6,7.9,14.6,7.1,11.2,19.2,8.9,20.5,9.7,54.4,31.2,72.2,88.3,167.9,35.6,15.2,33.9,14.9,51.4
UCLA,2216,Panthera,onca hernandesii,unknown,Sonora,Mexico,216,56.7,83.9,52.6,77.7,59.9,141.8,58.3,41,69.3,27.1,55.3,64.2,39.7,83.1,8.1,6.2,15.5,13.3,9.4,14.9,12.3,24.3,67.1,27.9,15.5,11.1,7.2,11.9,6.1,11.1,17.3,8.1,19.2,9.4,42.9,22.4,60.4,71,140.2,27.9,12.4,26.7,10.9,45.6
LACM,33328,Panthera,onca hernandesii,female,Mexico,,217.1,96.9,92.9,60.6,93.8,67.4,167.7,68.4,43.6,78.2,30.7,64.7,74.3,50.1,100.5,,,18.2,14.6,10.6,15.9,13.4,26.1,72.8,32.8,17.3,12.3,7.9,12.7,6.9,11.9,18,8.9,19.9,10.3,47.4,32,64.7,80.6,153.7,29.5,14.3,27.7,13.7,49.4
LACM,92609,Panthera,onca paraguensis,unknown,Argentina,,237.8,99.2,101.8,70.8,94.6,73.4,166.9,74.3,53.7,82.5,35.8,74.3,81.6,50.5,111.4,10.1,7.9,20.9,16.3,12.7,19.5,15.7,28.4,83.1,37.9,18.6,14.7,10.3,16.5,9.2,14.7,21.1,10.9,21.4,11.4,52.2,32.9,73.4,84.4,170.4,35.3,16.1,34.4,16.6,56.8
LACM,92610,Panthera,onca veraecrucis,female,Mexico,,199.3,90.5,83.7,52.2,83.6,61.3,153.5,68.8,46.6,73.7,27.1,57.6,67.4,45.7,93.2,7.9,6.1,13.4,12.3,9.6,15.1,12,23.7,67.9,27.5,14,11.1,7.4,11.5,6.6,9.7,16.9,8.1,17.9,9.3,46.8,31.3,61.5,74.3,139.4,26.5,12.5,25.8,11.7,44.7
LACM,54508,Panthera,pardus,unknown,India,,169,75.9,77.2,49.7,71.8,53.6,122.7,64.7,45.4,69.1,22.6,46.8,55.5,37.3,76,6.6,5.6,12.8,9.8,8.9,14.7,11.7,21.4,58.2,25.8,11.4,8.3,6.5,10.6,5.8,10.4,15.8,7.8,15.1,7.1,35.4,18.2,48.4,55.9,110.6,23,12.4,21,11,33
LACM,51560,Panthera,pardus,unknown,,,183.4,73.5,83.4,50.2,80.3,65.5,129.4,58.1,43.7,71.4,32.5,56.7,68,39.9,86.2,8.7,7.3,15.5,12.4,11.3,18.3,13.5,27.3,69.3,28.3,15.6,10.9,7.9,14.5,7.1,12.3,19.5,9.2,19.5,10.4,32.8,20.6,46.6,56.9,117.5,25.1,12.9,24.9,11.9,43.8
LACM,52169,Panthera,pardus,unknown,,,187.5,81.2,86,54.9,67.6,53.4,123.9,57.4,37.8,66.7,21.5,46.6,61.6,41.1,79.7,6.7,5.1,12.6,9.5,8.4,14.8,11.5,21.8,65.3,24.4,10.8,7.7,6.7,9.4,5.9,9.7,16.3,7.9,16.5,7.8,35.2,24,47.6,62.6,116.4,21.6,11.6,22.6,11.6,35.8
LACM,648,Panthera,pardus,unknown,,,188.1,82.2,85.3,50.2,76.6,58.2,137.7,71.1,43.3,75.4,23.7,55.8,66.2,43.6,85.4,,,,,,,,,,,16.5,12.2,,11.9,5.5,9.3,17.1,8.6,16.8,8.4,36.5,21.4,54.2,67.4,126.3,24.6,14.1,24.9,12.1,40.6
LACM,52523,Panthera,pardus,male,Kenya,,198.5,88.5,94.9,62.2,83.3,60.7,147.9,70.5,42.9,73.4,23.3,54.2,63.9,39.1,89.5,6.5,5.5,14.1,10.6,8.9,16.1,11.5,21.8,63,21.9,12.6,9.7,6,11.5,5.3,9.1,16.3,7.5,16.7,7.4,41.8,27.1,58.3,67.9,126.5,26.8,13.2,25.5,12.5,45.8
LACM,31068,Panthera,pardus,male,,,201.4,88.4,90.2,56.3,83.6,61.5,141.8,63.9,40.4,72.5,26.2,56.5,66.8,40.4,90.8,7.3,5.4,15.1,11.8,11.5,16.9,12.6,23.8,69.3,28.6,13,9.9,9.1,12.9,6.1,13.5,17.9,10.2,18,9.2,43,20.3,56.5,73.5,131.6,26,13.8,26.1,13.2,41.1
LACM,51562,Panthera,pardus,unknown,India,,210.8,95.7,97.1,59.8,80.2,60.6,148.5,69.8,42.5,78.8,24.9,53.8,65,43.6,95.8,7.5,5.8,14.3,11.1,10.4,17.7,12.5,24.6,70.6,32.8,13.4,9.9,7.6,12.4,5.8,12,18.1,8.4,18.9,8.3,44.2,27.6,60.3,74.1,136.3,29.2,13.7,28.2,12.5,46.8
LACM,56788,Panthera,pardus,male,Kenya,,225.7,100.7,109.9,64.3,81.2,58.9,155.8,73.6,43.2,78.4,25.4,56.1,71.9,43.6,94.1,7.1,5.6,15.7,11.9,10.4,17,13.1,26.2,75.5,32.8,12.9,10.1,7.4,13.4,6.4,12.4,17.8,9.1,19.5,8.4,54.2,21.5,60.3,79.5,143.2,28.4,13.3,26.1,13.7,48.3
MVZ,185203,Panthera,pardus,unknown,Namibia,,228.6,57.9,100.1,59.6,77.6,60.3,143.5,60.4,38.9,74.1,27,56.9,69.1,40.6,93.7,8.1,6.5,17.7,12.7,8.4,17.3,13.3,25.5,73.2,33.1,14.8,11.3,5.6,13.3,6.3,10.5,19.8,9.1,20.7,8.9,36.3,19,56.6,70.9,141.8,26.9,14.2,26.8,12.5,45.5
MVZ,126802,Panthera,pardus,male,Gabon,,234.3,64.3,101,61.1,74,55.7,151.8,73,38.2,74.5,24.2,55.8,66,44.6,89.7,7.3,5.6,16.6,11.8,9.9,16.3,12.8,26.2,70.3,29.9,15.2,11,7,12.2,5.9,11.6,17.5,8.5,20.5,8.6,41.5,23.7,59.6,74.4,146,28.9,12.8,27.2,12.1,41.7
MVZ,124262,Panthera,pardus,male,Uganda,,259.7,70.7,112,67.2,78.3,62.2,160.3,75,40.9,76.2,26.3,56.2,79.3,47.9,100.3,7.6,5.6,15.1,11.1,10.1,17.2,12.1,24.5,77.1,30.3,14.3,10.6,7.1,12.5,6,12.2,19.4,8.7,19.6,9.1,45.8,27.3,64.1,80.9,160.5,34,14.5,31.8,13,51.2
LACM,31207,Panthera,tigris,unknown,,,241.6,102.9,123.7,73.9,106.6,75.1,184.8,80,56.2,82.9,36.5,75.9,85.3,52.7,105.8,9.2,7.1,,,10,18.8,14.8,29.9,80.6,,,,,,,,,,,,,,,,,,,,,
LACM,54239,Panthera,tigris,female,India,,261.7,112.2,124.7,76.5,114.6,81.2,196.1,88.5,61.7,95.5,41.7,88.6,88.1,51.6,118.2,,,23.2,17.3,10.5,21.3,15.9,32.8,93.6,55.7,24.5,15.3,9.4,14.6,7.7,14.7,23.3,11.3,26.1,12.6,57.1,39.1,74.7,92.6,189.9,36.1,20.9,35.8,18.3,63.5
LACM,51343,Panthera,tigris,unknown,Burma,,275.9,121.3,129.9,78.5,120.5,76.9,196.9,95.8,67.5,100,41.9,80.8,105,55.3,121.1,13.8,10,23.1,17.8,14.5,26.2,19.3,35.2,95.6,,,,,,,11.9,19.5,9.2,21.5,11.5,48.2,30.5,65.7,84.7,160.4,32.7,17.9,32.7,16.8,58.1
LACM,9223,Panthera,tigris,male,Burma,,279.8,115.4,140.4,76.9,117.6,75.1,203.4,87.5,57.2,91.8,41.8,86.3,100.7,58.7,122.1,12.4,9.5,26.2,19.9,13.9,22.8,17.7,32.3,98.6,46.2,23.8,16.5,10.4,16.3,8.6,15.5,22.8,11.2,26.2,12.3,62.8,42.1,79.6,100,195.4,38.9,21.4,37.7,17.6,62.5
USNM,253289,Panthera,tigris,female,India,Hoshangabad district,287.3,72.2,130.4,72.5,99,75.7,186.1,84.2,60.1,93.6,38.2,77.7,94.3,51.6,113.4,10.7,9.5,20.3,15.7,11.7,19.8,15.5,31.7,86.7,37.6,18.6,14.3,8.4,14.4,7.5,13.8,21.1,10.5,23.6,12.5,56.4,26.7,73,96.9,181.8,34.6,18.8,33.4,17.1,61.2
