Museum,Catalog no.,Genus,Species,Sex,Country,State/Region,SKL,BCL,FL,PL,PW,GULW,ZW,POP,POC,MCW,I3-I3,C1-C1,MB,CB,OCB,I3AP,I3ML,C1AP,C1ML,P3H,P3L,P4BP,P4L,P4-C1,c1H lower,c1AP,c1ML,p3H,p3L,p3B,p4H,p4L,p4B,m1L,m1B,MAT,MAM,MFL,MM1,MC1,JDM1,JBM1,JDP4,JBP4,SYML
FMNH,93645,Leptailurus ,serval phillipsi,female,Sudan,Upper Nile,113.9,36.4,40.7,23.3,43.5,37.4,79.3,54.1,33.3,49.4,13,26.6,34.7,25.4,44.6,2.9,2.7,6.2,4.8,4.6,7.6,6,13.4,34,6.8,5.7,4.5,4.6,6.9,3.4,5.8,9.2,4,10,4.6,19.7,12.8,30.9,40.8,74.8,13.8,6,12.2,5.7,16.6
FMNH,79415,Leptailurus ,serval phillipsi,male,Sudan,Eastern Equatoria,121.1,37.1,43.7,25.5,44.3,38.4,82.4,51.2,33.8,50.1,11.6,25.8,38.1,29.1,47.6,3.2,2.7,6.4,4.6,5.5,8.4,6,13.7,34.5,11.2,6.2,4.4,5,7.3,3.2,5.7,9.8,3.7,9.8,4.6,17.6,12.3,35,41.3,74.4,11.7,6.5,11,5.8,14.9
FMNH,95923,Leptailurus ,serval serval,female,Zimbabwe,East Mashonaland,113.9,34.9,43.3,24.6,47.4,38.9,74.7,46.9,37.4,53.1,12.7,28,40.4,30.2,48.7,3.5,3,6.9,5.4,6.4,9.9,7.6,15,36.6,11.9,7,5,5.6,8.5,4.2,7,10.4,4.2,10.9,5.1,18.5,11,31.2,38.6,73.6,12.4,7,12.9,6.3,17.6
LACM,90776,Lynx,canadensis,female (17.5lbs),Captive,,108.3,45.1,43,25.2,52.5,45.1,86.9,52.9,37,52.6,13.4,30,35.8,27,51.3,3,2.4,6.2,5.1,7,8.9,6.3,14.4,36.7,14.7,6.2,4.3,6,6.2,3.8,6.6,8,4.1,12.1,4.8,20.8,10.8,30.6,38.4,71,16.4,5.4,16.6,5.2,20
LACM,92586,Lynx,canadensis,male,U.S.,,115.3,49.9,46.2,28.1,51.3,44.5,88.6,59.3,43.9,57.9,13.4,31.6,36.6,29,53.3,3.5,2.8,7.1,6.1,7.5,9.8,7.1,15.5,39.8,17.5,6.9,5.3,6.4,7.3,3.8,6.8,9.8,4.4,12.7,5.2,21.5,13.1,32.1,41.7,76.6,14.7,6.7,13.4,6.8,20.3
MVZ,4182,Lynx,canadensis,female,U.S.,Alaska,120.4,35.5,43.9,26.7,52.4,41.2,87,56.6,41.9,57.5,13.8,31.2,41.3,30.2,52.7,4,3.2,7.2,6.2,7.5,10.8,7.9,16.7,39.3,16.7,7.4,5.3,6.4,7.7,4.5,7.1,11.4,5,13.2,5.4,18.7,10.3,29.6,32.5,75,14.4,7.2,12.9,7.1,19.7
MVZ,4181,Lynx,canadensis,male,U.S.,Alaska,127.1,37.7,47,28.6,51.9,40.8,89.4,55.2,37.3,56.9,13.5,32.8,43.3,32.3,55.5,3.6,3.2,7.4,6.1,7.5,9.9,7.7,15.4,39.1,16.8,7.2,5.5,6.5,7.7,4.2,7.2,9.5,4.9,11.7,5,19.6,11.3,33.8,41.3,79.9,14.6,6.6,14.1,6.4,20.7
MVZ,4157,Lynx,canadensis,female,U.S.,Alaska,128.9,38.5,49.6,29.7,51.3,42.5,89.1,58.1,40.7,55.7,13.8,32.6,43.5,31.7,53.7,3.8,3,7.6,6,7,10.6,7.6,16.1,41.2,16.8,7.2,5.3,6.4,8.2,4.4,7.2,10.5,5,12.9,5.3,19.6,10.2,33,41.3,81,15.9,6.9,14.6,6.7,21.3
MVZ,4177,Lynx,canadensis,male,U.S.,Alaska,129.7,37.8,49.7,29.1,51.1,41.6,90,55,37.8,56.7,13.9,31.2,42.3,32.5,54.8,3.7,2.9,6.8,5.5,7.3,9.8,7.8,16.6,40.5,16.4,7,4.9,6.8,7.9,4.3,7,10.5,4.6,11.8,5.1,20.1,13.7,34.3,40.9,80.6,16.7,6.5,15.5,6.6,21.5
LACM,92585,Lynx,canadensis canadensis,female,U.S.,,113.4,51.7,47.4,27.9,51.5,43.9,88.5,52.5,38,56.6,14,30.6,36.1,29.8,51.6,4,3.2,7.3,5.7,7.3,10.1,7,15.7,40,16.9,7.3,5.2,6.6,7.8,4.1,7.2,9.7,4.7,12.5,5,21.8,11.8,30.8,40.3,74.5,15,6.7,14.6,6.3,20.6
